<TICKER>,<DTYYYYMMDD>,<DTYYYYMMDD2>,code,close
شاخص_كل6,13880105,20090325,IDXS,7965.60
شاخص_كل6,13880108,20090328,IDXS,7965.80
شاخص_كل6,13880109,20090329,IDXS,7955.40
شاخص_كل6,13880110,20090330,IDXS,7970.30
شاخص_كل6,13880111,20090331,IDXS,7988.70
شاخص_كل6,13880115,20090404,IDXS,8001.60
شاخص_كل6,13880116,20090405,IDXS,8006.00
شاخص_كل6,13880117,20090406,IDXS,8049.00
شاخص_كل6,13880118,20090407,IDXS,8077.90
شاخص_كل6,13880119,20090408,IDXS,8111.10
شاخص_كل6,13880122,20090411,IDXS,8153.50
شاخص_كل6,13880123,20090412,IDXS,8175.90
شاخص_كل6,13880124,20090413,IDXS,8203.60
شاخص_كل6,13880125,20090414,IDXS,8252.40
شاخص_كل6,13880126,20090415,IDXS,8251.60
شاخص_كل6,13880129,20090418,IDXS,8290.40
شاخص_كل6,13880130,20090419,IDXS,8348.00
شاخص_كل6,13880131,20090420,IDXS,8431.20
شاخص_كل6,13880201,20090421,IDXS,8434.90
شاخص_كل6,13880202,20090422,IDXS,8476.40
شاخص_كل6,13880205,20090425,IDXS,8469.10
شاخص_كل6,13880206,20090426,IDXS,8502.60
شاخص_كل6,13880207,20090427,IDXS,8518.10
شاخص_كل6,13880208,20090428,IDXS,8527.80
شاخص_كل6,13880209,20090429,IDXS,8535.00
شاخص_كل6,13880212,20090502,IDXS,8548.30
شاخص_كل6,13880213,20090503,IDXS,8584.60
شاخص_كل6,13880214,20090504,IDXS,8638.30
شاخص_كل6,13880215,20090505,IDXS,8699.50
شاخص_كل6,13880216,20090506,IDXS,8774.20
شاخص_كل6,13880219,20090509,IDXS,8872.40
شاخص_كل6,13880220,20090510,IDXS,8930.40
شاخص_كل6,13880221,20090511,IDXS,8989.50
شاخص_كل6,13880222,20090512,IDXS,8968.30
شاخص_كل6,13880223,20090513,IDXS,8932.10
شاخص_كل6,13880226,20090516,IDXS,8888.00
شاخص_كل6,13880227,20090517,IDXS,8919.40
شاخص_كل6,13880228,20090518,IDXS,8963.80
شاخص_كل6,13880229,20090519,IDXS,8956.30
شاخص_كل6,13880230,20090520,IDXS,9000.80
شاخص_كل6,13880302,20090523,IDXS,9042.10
شاخص_كل6,13880303,20090524,IDXS,9019.50
شاخص_كل6,13880304,20090525,IDXS,8971.10
شاخص_كل6,13880305,20090526,IDXS,8934.60
شاخص_كل6,13880306,20090527,IDXS,8953.70
شاخص_كل6,13880309,20090530,IDXS,9001.30
شاخص_كل6,13880310,20090531,IDXS,9000.60
شاخص_كل6,13880311,20090601,IDXS,9006.30
شاخص_كل6,13880312,20090602,IDXS,9032.30
شاخص_كل6,13880313,20090603,IDXS,9081.70
شاخص_كل6,13880316,20090606,IDXS,9121.30
شاخص_كل6,13880317,20090607,IDXS,9195.10
